FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.732542098,0.677637160,0.773390532
0.125787579,0.732669652,0.677637160,0.773390532
0.126575158,0.733562887,0.680991709,0.773615658
0.127362736,0.734403670,0.681855857,0.774193525
0.128150315,0.734403670,0.681855857,0.774193525
0.128937894,0.735325873,0.684848487,0.774429977
0.129725473,0.736120701,0.686468661,0.776691139
0.130513051,0.736120701,0.686468661,0.776691139
0.131300630,0.736842752,0.686826825,0.776929617
0.132088209,0.737598896,0.688537538,0.778264701
0.132875788,0.737598896,0.688537538,0.778264701
0.133663366,0.738399982,0.689516127,0.778639078
0.134450945,0.739167213,0.691129029,0.779908657
0.135238524,0.739929199,0.692626357,0.780766070
0.136026103,0.739929199,0.692626357,0.780766070
0.136813681,0.740687072,0.693670869,0.780995488
0.137601260,0.741364300,0.695161283,0.781170487
0.138388839,0.741364300,0.695161283,0.781170487
0.139176418,0.742012322,0.696995020,0.781848431
0.139963996,0.742671669,0.697357893,0.782646775
0.140751575,0.742671669,0.697357893,0.782646775
0.141539154,0.743234158,0.699235320,0.782945752
0.142326733,0.743862867,0.701331139,0.783513725
0.143114311,0.744521558,0.701361060,0.784026086
0.143901890,0.744521558,0.701361060,0.784026086
0.144689469,0.745139301,0.703030288,0.784399629
0.145477048,0.745725453,0.704545438,0.785179019
0.146264626,0.745725453,0.704545438,0.785179019
0.147052205,0.746259153,0.704703808,0.785349250
0.147839784,0.746809840,0.705490828,0.785349250
0.148627363,0.746809840,0.705490828,0.785349250
0.149414941,0.747377932,0.706329107,0.787028909
0.150202520,0.747920454,0.708079934,0.787085533
0.150990099,0.748435676,0.708581150,0.787085533
0.151777678,0.748435676,0.708581150,0.787085533
0.152565257,0.748916984,0.708581150,0.787085533
0.153352835,0.749379337,0.710686386,0.787560582
0.154140414,0.749379337,0.710686386,0.787560582
0.154927993,0.749886930,0.712829232,0.787852108
0.155715572,0.750429094,0.713073015,0.788509548
0.156503150,0.750429094,0.713073015,0.788509548
0.157290729,0.750974834,0.713073015,0.788781762
0.158078308,0.751396716,0.713563621,0.788830698
0.158865887,0.751846731,0.713696361,0.789176106
0.159653465,0.751846731,0.713696361,0.789176106
0.160441044,0.752299488,0.714876056,0.790534616
0.161228623,0.752767146,0.714876056,0.790867567
0.162016202,0.752767146,0.714876056,0.790867567
0.162803780,0.753183484,0.715030432,0.790950239
0.163591359,0.753682256,0.716090977,0.791107357
0.164378938,0.753682256,0.716090977,0.791107357
0.165166517,0.754142821,0.716090977,0.791107357
0.165954095,0.754512489,0.716193676,0.791107357
0.166741674,0.754920542,0.716933429,0.792468607
0.167529253,0.754920542,0.716933429,0.792468607
0.168316832,0.755360961,0.716933429,0.792468607
0.169104410,0.755775928,0.717666924,0.792694092
0.169891989,0.755775928,0.717666924,0.792694092
0.170679568,0.756111562,0.717848778,0.793073595
0.171467147,0.756499767,0.718855202,0.793388426
0.172254725,0.756499767,0.718855202,0.793388426
0.173042304,0.756913722,0.719015300,0.793848693
0.173829883,0.757234275,0.719696999,0.793848693
0.174617462,0.757635891,0.719696999,0.795708179
0.175405041,0.757635891,0.719696999,0.795708179
0.176192619,0.757976949,0.720068932,0.795708179
0.176980198,0.758342266,0.720713079,0.796342492
0.177767777,0.758342266,0.720713079,0.796342492
0.178555356,0.758756816,0.721380472,0.797424912
0.179342934,0.759130120,0.721380472,0.797424912
0.180130513,0.759130120,0.721380472,0.797424912
0.180918092,0.759546995,0.721791565,0.798149705
0.181705671,0.759951413,0.721791565,0.798836231
0.182493249,0.760379493,0.723793685,0.799141645
0.183280828,0.760379493,0.723793685,0.799141645
0.184068407,0.760769069,0.723867595,0.799831092
0.184855986,0.761174798,0.723874271,0.800000012
0.185643564,0.761174798,0.723874271,0.800000012
0.186431143,0.761571229,0.725619853,0.800675690
0.187218722,0.762010992,0.725619853,0.800873339
0.188006301,0.762010992,0.725619853,0.800873339
0.188793879,0.762449265,0.726744175,0.800873339
0.189581458,0.762851655,0.726744175,0.800999165
0.190369037,0.763305545,0.727194488,0.802100182
0.191156616,0.763305545,0.727194488,0.802100182
0.191944194,0.763717294,0.727194488,0.802385032
0.192731773,0.764141262,0.727272749,0.803404272
0.193519352,0.764141262,0.727272749,0.803404272
0.194306931,0.764609277,0.727953434,0.804291844
0.195094509,0.765041769,0.728099167,0.804938257
